transaction_id,user_id,transaction_date,amount
T30553,U0001,2022-05-13,204.6
T20640,U0001,2022-08-31,152.5
T49316,U0001,2022-12-05,83.71
T52353,U0001,2022-07-02,134.11
T43559,U0001,2023-01-31,210.8
T50714,U0001,2022-04-18,51.78
T97320,U0001,2022-09-11,39.61
T18851,U0001,2023-01-29,110.14
T65505,U0001,2022-09-06,164.95
T96290,U0001,2022-06-09,143.67
T28040,U0001,2022-06-25,159.86
T13009,U0001,2022-07-16,57.2
T22975,U0001,2022-11-23,170.28
T62166,U0001,2022-10-26,12.81
T42777,U0001,2022-06-19,78.63
T27130,U0001,2022-06-29,0.58
T86290,U0001,2022-09-25,39.24
T88751,U0001,2022-10-03,45.64
T82908,U0001,2022-07-15,50.45
T90609,U0002,2023-07-31,7.6
T96768,U0002,2023-10-06,92.49
T31853,U0002,2023-03-31,110.33
T71433,U0003,2023-06-24,93.63
T33808,U0003,2022-10-05,144.77
T56133,U0003,2022-12-26,167.66
T78814,U0003,2023-07-11,126.63
T56675,U0003,2023-01-27,311.28
T77449,U0003,2023-05-11,1.84
T38240,U0003,2023-03-05,21.79
T81785,U0003,2023-03-04,0.76
T61655,U0003,2022-10-14,104.26
T27170,U0003,2023-02-12,228.31
T69257,U0003,2023-07-22,27.9
T11837,U0003,2023-05-18,261.78
T88745,U0004,2023-01-23,53.37
T61394,U0004,2022-09-09,13.0
T75955,U0004,2023-01-21,19.99
T41109,U0004,2023-02-05,114.29
T82398,U0004,2022-06-12,20.02
T58413,U0004,2022-05-18,74.48
T25262,U0004,2022-09-25,123.46
T63371,U0004,2022-12-16,11.3
T24812,U0004,2022-09-24,83.77
T73514,U0004,2023-02-06,29.65
T11789,U0004,2022-09-04,329.49
T48378,U0004,2022-09-12,66.08
T75296,U0004,2022-08-05,163.99
T82660,U0004,2022-09-26,79.9
T87693,U0004,2022-09-14,4.44
T90386,U0004,2022-04-23,100.28
T60016,U0004,2022-07-07,302.42
T33448,U0005,2022-04-12,27.03
T84907,U0005,2022-03-26,151.65
T10125,U0005,2022-12-13,32.13
T88071,U0005,2022-03-27,172.94
T19461,U0005,2022-07-16,55.12
T55911,U0005,2022-07-20,110.13
T80738,U0005,2022-09-03,10.04
T72651,U0005,2022-05-28,97.78
T48862,U0005,2022-08-16,60.11
T84724,U0005,2022-10-11,88.34
T69062,U0005,2022-05-05,18.39
T65891,U0006,2022-10-28,10.06
T81293,U0006,2023-02-23,2.39
T89517,U0006,2022-12-20,102.71
T61769,U0006,2022-11-08,93.42
T13298,U0006,2022-12-08,79.12
